frozen_layers,data_format,accuracy,training_time
80,float32,0.7698945349952061,53.29767847061157
80,bfloat16,0.7392138063279002,24.65880513191223
50,float32,0.800575263662512,60.756797552108765
50,bfloat16,0.7727708533077661,31.02302074432373
20,float32,0.8168744007670182,76.14611601829529
20,bfloat16,0.7833173537871524,35.7391676902771
0,float32,0.8149568552253116,95.39214396476746
0,bfloat16,0.788111217641419,40.11381912231445
