name,metric,value,training_time
coqa,exact_match,10.797945634473257,1359.4172790050507
coqa,f1,23.274037747270828,1359.4172790050507
squad,exact_match,70.22705771050141,1076.7331261634827
squad,f1,80.46691989685779,1076.7331261634827
